	logFC	logCPM	PValue	FDR
Rnf25	0.192211639	4.886393162	0.124936111	0.644937781
Socs4	-0.20111495	5.395291763	0.125167085	0.644937781
Sppl2b	0.23824828	4.658596246	0.12519057	0.644937781
C330007P06Rik	-0.220880525	5.482283848	0.12521292	0.644937781
2900097C17Rik	-0.215987514	8.637790237	0.125239412	0.644937781
Zzef1	-0.155654444	7.311911368	0.125242856	0.644937781
Papd5	-0.170331685	6.41120158	0.125276536	0.644937781
Rps3a1	0.172951963	10.70191702	0.125283021	0.644937781
Kctd1	0.27048744	2.779023286	0.12528741	0.644937781
Coro1b	0.196029452	8.414674969	0.125293885	0.644937781
Tnfsf10	-0.182521784	5.101798127	0.125381119	0.644942962
Cpne3	-0.196558915	5.787059482	0.125444942	0.644942962
Parp3	0.186810876	6.444156408	0.125542304	0.644942962
Zc3h12a	0.218786672	4.14123005	0.125758395	0.644942962
Msl3l2	0.233151764	2.907548619	0.125773923	0.644942962
Chchd2	0.170519802	6.879210876	0.125791732	0.644942962
Dph1	0.259946046	3.03740411	0.125798311	0.644942962
Plcxd2	-0.189051847	5.213674666	0.125800878	0.644942962
Zfp932	-0.223497717	5.098751229	0.125922163	0.64524035
Lamtor4	0.184349591	5.686193775	0.125999097	0.64531029
Phb2	0.197682147	7.209277847	0.126122658	0.645323471
Polr2f	0.212147402	4.804434112	0.126183418	0.645323471
Dpy19l4	-0.269004179	3.552874541	0.126264435	0.645323471
Mdh2	0.182302961	7.981816641	0.126309675	0.645323471
Hadh	0.17520661	5.310244531	0.126326926	0.645323471
Bpnt1	0.202947476	3.821172145	0.126381384	0.645323471
Slc35d1	-0.19930363	4.601853352	0.126685534	0.645910858
Mtmr2	-0.19978803	5.570011392	0.126714502	0.645910858
Dmxl1	-0.226552959	5.615065739	0.126800646	0.645910858
A430035B10Rik	0.365606397	0.92880757	0.126925773	0.645910858
Supt16	-0.172740057	8.330883512	0.126966033	0.645910858
2410016O06Rik	0.240035676	4.432365722	0.127145535	0.645910858
Rnasek	0.202271613	5.733294375	0.127160936	0.645910858
Igsf23	0.358719718	2.758813251	0.127163085	0.645910858
Gapvd1	-0.158833883	6.731523769	0.127236127	0.645910858
H2-Q1	-0.341883437	2.336265505	0.127290373	0.645910858
Atxn10	0.163916587	6.405138843	0.127301423	0.645910858
Uqcc2	0.220570916	4.694204338	0.127432026	0.645910858
Fbxl5	-0.210404315	5.427480212	0.127442804	0.645910858
Kif20a	-0.237334228	5.879368239	0.127556263	0.645910858
Znhit1	0.247209523	4.482594577	0.127592818	0.645910858
Nckap1	-0.283017998	1.752871634	0.127686351	0.645910858
Ift88	-0.295399681	1.688523393	0.127690202	0.645910858
Trerf1	0.261730092	5.380354018	0.127735917	0.645910858
Cyth4	0.160212983	7.595701276	0.127761666	0.645910858
Dnajc13	-0.178389411	7.179826084	0.127774932	0.645910858
Tnfrsf23	0.262517822	2.968260217	0.127987975	0.645910858
Heca	-0.186255173	6.870694755	0.128064194	0.645910858
Sbk1	0.178157394	5.900248601	0.128112012	0.645910858
Hsf2	-0.250901736	3.028143416	0.128135744	0.645910858
Rab18	-0.184300068	6.511370325	0.128231896	0.645910858
Atxn7l2	0.268950932	3.241570861	0.128287124	0.645910858
Prickle3	0.226685869	3.470976291	0.128389277	0.645910858
Acads	0.225783576	5.823585817	0.128439609	0.645910858
Pdp1	-0.302665209	2.895918565	0.12846135	0.645910858
Smap1	0.165225074	6.650086935	0.128473367	0.645910858
Rexo1	0.213692036	6.683961176	0.128537359	0.645910858
Clpp	0.229441625	4.019030951	0.128545233	0.645910858
Rpl10	0.20257066	10.14753331	0.128586745	0.645910858
Vps37a	-0.200339646	5.323421186	0.128709586	0.646209574
Ppp2r1a	0.166121047	7.720427111	0.12890314	0.64660993
Gmcl1	-0.21429024	5.700432185	0.128967935	0.64660993
Cdca7l	-0.187673115	5.48777825	0.128979562	0.64660993
Katnbl1	-0.281693328	4.26519486	0.129086465	0.646827855
Il27ra	0.175543978	7.637566347	0.129187301	0.647015179
Hnrnpll	-0.160732003	6.759607105	0.129464435	0.647940187
Cox20	0.179473972	5.23506693	0.129540957	0.647940187
Trip12	-0.182966377	9.164282275	0.129565496	0.647940187
Swap70	-0.255264929	4.339019218	0.129626163	0.647940187
Kidins220	-0.162705717	7.291014	0.129748217	0.648232519
Tapt1	-0.164238159	6.281368931	0.130186675	0.649120045
Donson	-0.171940818	5.566816965	0.130214865	0.649120045
Bmpr2	-0.333874406	2.797995105	0.130253945	0.649120045
Rpl9	0.151719969	10.21765679	0.130392121	0.649120045
A630033H20Rik	-0.242246708	4.126418816	0.130424	0.649120045
Zfp637	0.253038169	2.373069207	0.130424673	0.649120045
Scoc	-0.270690562	3.429673148	0.13042499	0.649120045
Glmn	-0.240843342	4.106264801	0.130487835	0.649120045
Tsen54	0.211171914	4.837775572	0.130501601	0.649120045
Pick1	0.200204833	4.643140702	0.130562441	0.649120045
4933404O12Rik	-0.280336501	2.055885923	0.130808183	0.649129518
Dicer1	-0.156117698	6.817938228	0.130842542	0.649129518
Nup43	-0.251976073	3.243873225	0.130948862	0.649129518
N4bp2l1	0.211817872	4.544127407	0.130958348	0.649129518
Sqstm1	0.168049852	7.636888682	0.131121165	0.649129518
Csgalnact2	-0.328010213	4.069849844	0.131137083	0.649129518
Zfp942	-0.241274661	5.085075479	0.131184551	0.649129518
Galt	0.209139567	4.268984464	0.131331887	0.649129518
Ttc3	-0.175507176	5.888725692	0.131364092	0.649129518
Fam46a	-0.204752738	4.70203197	0.131425587	0.649129518
Bend3	0.194897209	4.11029997	0.131495605	0.649129518
Plekhn1	0.305356269	1.955652847	0.131513274	0.649129518
Hirip3	-0.243134206	5.504379297	0.131513373	0.649129518
Bcat1	-0.275480041	2.997458646	0.131564467	0.649129518
2210016F16Rik	0.168105235	5.968116959	0.131625145	0.649129518
Dusp19	-0.237243842	3.582905723	0.131657916	0.649129518
Atp11b	-0.244598079	8.357860227	0.131689874	0.649129518
Ivns1abp	-0.21856521	7.929649861	0.131722264	0.649129518
Vopp1	-0.226959549	4.842898738	0.131825707	0.649129518
Ccdc9	0.16037725	6.338057186	0.131848947	0.649129518
Hvcn1	0.180409612	7.129603704	0.131939467	0.649129518
Smarca5	-0.220226022	8.046227281	0.132004896	0.649129518
Dexi	0.289996209	3.355932593	0.132060456	0.649129518
Caskin2	0.25446557	3.53019657	0.13209216	0.649129518
Atp6v1f	0.167787839	6.666910396	0.132200767	0.649350297
Cxcr5	0.231843638	7.8686201	0.132267945	0.649367472
Nipbl	-0.18075865	8.095451798	0.132424276	0.649822109
Kpna6	-0.159563036	6.479691105	0.132562789	0.649984272
Sgol1	-0.258494404	4.347068406	0.132584808	0.649984272
Kdm5a	-0.18218979	7.699305749	0.13289564	0.651006505
Ldoc1l	0.210695506	3.616542377	0.132921011	0.651006505
A830080D01Rik	-0.258922119	4.539721191	0.133036856	0.651018135
Ctrl	0.352749589	1.063751775	0.13309375	0.651018135
1700020D05Rik	0.472147977	0.037596373	0.133114917	0.651018135
Dscc1	-0.304245203	3.140077595	0.133415915	0.651384274
Kif2a	-0.215478816	6.19099826	0.133555907	0.651384274
Ntmt1	0.236724745	3.117301828	0.133582192	0.651384274
Kremen2	0.291623798	3.554560289	0.133600735	0.651384274
Trip13	-0.277928206	3.976708416	0.133627579	0.651384274
Papd4	-0.169076349	5.670692283	0.133857194	0.651384274
Pcdhgc3	0.268476973	3.503856015	0.133920875	0.651384274
Mbnl2	-0.175127476	5.955329768	0.133941626	0.651384274
Hist1h1d	-0.373379252	0.611695099	0.134007884	0.651384274
Igf1r	0.189813782	4.859543012	0.134069549	0.651384274
Parp16	0.326677826	2.001372472	0.1340716	0.651384274
Ifng	-0.272317205	4.868313517	0.13412305	0.651384274
Zfp934	-0.355564144	2.325594688	0.134177111	0.651384274
Slc35f5	-0.424107716	0.122174701	0.134223165	0.651384274
Ldlrap1	-0.229922304	5.426639985	0.134343892	0.651384274
Phlpp2	-0.202150641	4.288748044	0.134381294	0.651384274
Skp2	-0.27850336	2.908178891	0.13442041	0.651384274
Lrrc23	0.445003895	0.066586224	0.13450414	0.651384274
Rsl1	-0.207834049	3.628103084	0.134625529	0.651384274
Ccdc47	-0.208388973	6.989410844	0.134658305	0.651384274
Eif3g	0.159988025	6.905713716	0.134688956	0.651384274
Abcb10	-0.251207763	2.856089554	0.134756006	0.651384274
Gtf3a	0.191689637	5.814187547	0.134785867	0.651384274
BC029722	0.178006264	5.472770466	0.134827577	0.651384274
Tgfb3	0.205433318	5.652398447	0.134829722	0.651384274
Nme1	0.155940461	6.81317142	0.134891323	0.651384274
Creld1	-0.257866036	2.209297325	0.134972043	0.651384274
Il6st	-0.169846519	8.425248369	0.134999495	0.651384274
Hspe1	0.155898021	6.758836012	0.135182224	0.651384274
Polr1d	0.159662442	7.422175366	0.135228987	0.651384274
Ifit2	-0.216227006	7.012200412	0.135288486	0.651384274
Mvd	0.211049643	4.414928289	0.135433405	0.651384274
Rsf1	-0.181284655	6.408080387	0.135539488	0.651384274
Rbm27	-0.166322857	6.715937303	0.135553984	0.651384274
Fbxl19	0.20121154	4.28760831	0.135604925	0.651384274
Kif20b	-0.293484995	5.721411129	0.135651677	0.651384274
Fbxo11	-0.202700799	6.317832923	0.135671031	0.651384274
Fbln1	0.3733669	2.571806929	0.135712582	0.651384274
Malt1	-0.166079147	8.276852386	0.135723995	0.651384274
Hyal2	0.395277519	2.484108774	0.135787695	0.651384274
Spcs2	-0.181012835	7.697543649	0.135808862	0.651384274
Gpbp1	-0.232914729	7.673049039	0.136030655	0.652141321
Sgsh	0.172574473	6.281436632	0.136331101	0.652894833
Hrh2	0.20619513	3.860762233	0.136369426	0.652894833
Tle3	0.183245907	8.700189301	0.136389633	0.652894833
Usp14	-0.21190646	5.791655616	0.136522889	0.652894833
Eci1	0.29234018	3.49502966	0.136543735	0.652894833
Mapk3	0.183849727	5.086040416	0.136571999	0.652894833
Tmem87b	-0.2075817	4.603966216	0.136765188	0.653512008
Ccnc	-0.273395061	5.463967387	0.136875347	0.653732044
Rasa2	-0.180480665	6.612077692	0.137038223	0.65420354
Wrap53	0.196491169	4.495804463	0.137170833	0.654530175
Dph2	0.209212594	4.39292688	0.137265859	0.654677252
Fancb	-0.292253775	2.384435539	0.137405188	0.65488924
Alg14	0.282857228	2.115550374	0.137479703	0.65488924
Cd101	-0.289481755	2.679974009	0.137554163	0.65488924
Tmem189	0.216689756	5.87486528	0.137567201	0.65488924
Afp	0.336683079	1.608864176	0.137787225	0.655340106
Psmd9	0.210738138	4.651365537	0.137790447	0.655340106
Erp27	0.401925854	0.2472441	0.138131312	0.656224975
Trp53inp1	-0.206114878	9.324513038	0.138269196	0.656224975
Dhx9	-0.195015697	8.576682185	0.138311183	0.656224975
Nosip	0.223685571	6.0294652	0.138397482	0.656224975
Hax1	0.17296117	5.40400371	0.138409931	0.656224975
Tm2d2	0.279638388	3.916467353	0.138421141	0.656224975
Pycard	0.177581255	6.732485899	0.13852584	0.656224975
Phactr2	0.231158109	4.966609112	0.138678727	0.656224975
Als2	-0.148786332	6.626368814	0.138695957	0.656224975
Cdyl2	-0.20085611	4.314018218	0.138696795	0.656224975
Gbp8	-0.190060902	5.249385589	0.138757764	0.656224975
Mrpl42	0.172043393	5.198920448	0.138804324	0.656224975
Galk2	0.159765258	5.773511398	0.138813109	0.656224975
Noxo1	0.45008094	0.072103058	0.13892937	0.656470244
Zfp36	0.17681244	8.02188469	0.13928521	0.657163959
Smpd5	0.333651078	1.743999299	0.139354323	0.657163959
Sp1	-0.187519148	7.704527397	0.139386344	0.657163959
Gusb	0.177720858	5.874678833	0.139429192	0.657163959
Dip2b	-0.147144249	7.006422613	0.139435114	0.657163959
Papolg	-0.195882494	5.548440427	0.139462862	0.657163959
Wdr73	0.19823698	4.67439962	0.139608458	0.657546165
Gns	0.198120566	4.81231299	0.13987076	0.658435911
Ezh2	-0.216290882	7.246276012	0.14018125	0.658435911
Nudt16	0.18777937	4.372122269	0.140189897	0.658435911
6330418K02Rik	0.291358475	1.696330884	0.140228502	0.658435911
Syp	-0.434926479	0.170731016	0.140272349	0.658435911
Dld	-0.177714283	6.576824104	0.140317521	0.658435911
Ube2v1	0.183784142	8.041854458	0.140415338	0.658435911
Zfp579	0.274217783	2.92448359	0.140474516	0.658435911
Rock2	-0.264609902	6.178768249	0.140494283	0.658435911
Trim68	-0.231238357	3.047474377	0.140559936	0.658435911
Zfp148	-0.168083946	6.911660417	0.140604739	0.658435911
Zfp64	0.216925478	4.503076161	0.14062048	0.658435911
Dis3l2	0.194384994	4.409780632	0.140636797	0.658435911
Orc2	-0.205691102	5.330102661	0.140776484	0.658787427
Decr1	-0.173933827	5.725429257	0.14116624	0.660235565
A630023P12Rik	0.36177254	3.96980298	0.141215433	0.660235565
Celf2	-0.160932798	8.68218861	0.141381838	0.660710634
Fam98a	-0.180216581	5.857862417	0.141550399	0.660979904
C2cd5	-0.158034299	6.836825781	0.14165773	0.660979904
Zfand2b	0.194972685	4.898427758	0.141751417	0.660979904
Tpd52	-0.229415655	3.452460494	0.141785752	0.660979904
Slc39a9	-0.154276766	6.271239826	0.141849527	0.660979904
Alg11	-0.227152526	4.038470852	0.141864217	0.660979904
Zfp362	0.252304976	5.349101194	0.141893205	0.660979904
Mybl2	-0.205827283	5.351694566	0.142219474	0.661588733
Lpcat1	-0.174773231	4.626883733	0.14223533	0.661588733
Prim2	-0.238296411	4.501800953	0.142242064	0.661588733
Cbx1	-0.200241697	6.390762609	0.142283426	0.661588733
Rbbp8	-0.209805642	5.664268033	0.142396017	0.661810476
Rnpepl1	0.209199719	6.581637139	0.1427211	0.662563342
Psmd3	0.192386228	7.134698295	0.142746176	0.662563342
Mfsd5	0.191656648	5.117666789	0.142815931	0.662563342
Hspd1	-0.22280215	8.017151892	0.14281791	0.662563342
Opa1	-0.161774678	6.246053301	0.142978037	0.663004567
Nab1	-0.160007509	7.949235814	0.143059574	0.663081124
Slc12a2	-0.238866933	3.725615886	0.143366309	0.663801967
Eif2ak2	-0.202045099	7.970556756	0.14351031	0.663801967
Klhdc3	0.16175928	6.568379549	0.143660056	0.663801967
Dennd2c	-0.378908655	0.741953377	0.14383585	0.663801967
Rmnd5b	0.197879005	5.457838769	0.143878854	0.663801967
Tnfrsf1a	0.183386103	4.218188525	0.143878865	0.663801967
Naa38	0.2126413	4.508920175	0.143928721	0.663801967
Fen1	-0.187487591	6.048283474	0.143953111	0.663801967
Fam199x	-0.251652274	4.276461064	0.144017379	0.663801967
Krtcap3	0.265310613	2.606932818	0.144085985	0.663801967
Gmnn	-0.210570082	5.356001215	0.144114946	0.663801967
Lpgat1	-0.201198652	6.559531346	0.144133191	0.663801967
Dnlz	0.216526548	4.670228193	0.144142955	0.663801967
Zfp239	0.331881615	0.950957801	0.144157337	0.663801967
Hmmr	-0.286295585	5.800379166	0.144303674	0.663801967
Cdca2	-0.25294829	4.755869901	0.144328214	0.663801967
Pebp1	0.171843559	6.391937005	0.144333929	0.663801967
Ptbp3	-0.218895642	9.40700797	0.144438018	0.663801967
Ppcs	0.213942021	4.380553654	0.144471603	0.663801967
Chst15	-0.260715972	1.898671372	0.144561242	0.663801967
Phf13	-0.191159234	4.222523092	0.144582149	0.663801967
Ndufc1	0.217469612	4.19442976	0.144677864	0.663942475
Rpl7a	0.160696237	10.23123009	0.145043792	0.665118681
Mkl2	-0.162825429	5.454657268	0.145089386	0.665118681
Dna2	-0.212501251	4.448848685	0.145156338	0.665118681
Lmnb1	-0.222145146	8.142537522	0.145248992	0.665118681
Suv39h1	-0.170451229	5.750332673	0.145260302	0.665118681
Nup107	-0.184738983	5.83782626	0.145542301	0.665695988
Rab11fip2	-0.224000983	3.422369778	0.145566147	0.665695988
Ube4a	-0.16368349	6.970591111	0.145582235	0.665695988
Poll	0.210475513	4.471750113	0.145760003	0.666068053
Map4k5	0.468760558	0.284218234	0.145878134	0.666068053
Rfc2	-0.163678822	6.232434869	0.14589042	0.666068053
Ppp1r7	-0.161520161	5.951789984	0.145924883	0.666068053
Dram2	-0.204971826	5.141721252	0.146054121	0.666359675
Prrt1	0.434565087	0.406698447	0.146139165	0.666449493
Angel1	0.23727141	2.914469628	0.146401228	0.667346143
Mecp2	-0.159975385	6.28582002	0.146487779	0.667442305
Pacsin1	0.186082659	6.153739248	0.146713109	0.667869825
Trappc2	-0.287522193	3.045416785	0.146786755	0.667869825
A430033K04Rik	-0.235468886	2.958274228	0.14679682	0.667869825
Fastk	0.204325453	5.509712203	0.146843596	0.667869825
Tfpt	0.186022083	4.279853024	0.147003633	0.668286645
Ppm1b	-0.188777109	7.074138989	0.147127171	0.668286645
Rapgef4	0.272608029	2.485294315	0.147176282	0.668286645
Egr2	0.162463068	6.510166771	0.147252965	0.668286645
Slc39a3	0.228420991	4.421375666	0.147263291	0.668286645
Gramd1a	0.188731121	8.636808058	0.147567167	0.668286645
Cntrl	-0.159161499	8.086632962	0.147575865	0.668286645
Ccdc53	0.175159826	5.780518646	0.147579213	0.668286645
Wdr37	-0.164017445	6.248205735	0.147609797	0.668286645
Ptgr2	-0.201292303	5.380291974	0.147621985	0.668286645
Wdr48	-0.155636309	6.367850304	0.147656155	0.668286645
Fam193b	0.180816452	6.671077399	0.147742954	0.66838283
Ep300	-0.144624958	7.409854448	0.147922666	0.668682066
Zfp523	0.306218424	3.414930286	0.147940251	0.668682066
Plekhg3	-0.365198059	2.582077941	0.148020681	0.668718326
Prc1	-0.250057727	5.835393846	0.148097269	0.668718326
Megf9	-0.425767666	0.967647667	0.148201369	0.668718326
Sbno1	-0.168281607	8.096831494	0.148278305	0.668718326
Atp5g3	0.164222375	8.061830809	0.148289539	0.668718326
Map1s	0.237125552	5.314928478	0.148383789	0.668718326
Vcpip1	-0.192756692	7.413918053	0.148492413	0.668718326
B9d2	0.240695176	3.882269174	0.148574116	0.668718326
Pef1	0.174672678	5.319050066	0.148696195	0.668718326
Cd82	0.154194958	7.955400528	0.148709176	0.668718326
Heatr5b	-0.155255491	5.678533083	0.148812252	0.668718326
Hk2	-0.250070317	3.454742511	0.148911087	0.668718326
Scpep1	0.201722831	4.873474436	0.148953345	0.668718326
Atxn1l	-0.15934012	5.802375326	0.149002544	0.668718326
Thap7	0.251974425	4.243212292	0.149012619	0.668718326
Evi5	-0.385597993	0.1802973	0.149047835	0.668718326
Cbr1	0.225871772	5.332958505	0.149146718	0.668718326
Dolpp1	0.197398781	4.614379347	0.149177748	0.668718326
Firre	-0.243513241	2.308583003	0.149194292	0.668718326
Wdr34	0.353595489	0.541150227	0.14941565	0.669032282
Api5	-0.169012549	7.704981179	0.14947567	0.669032282
02-Mar	0.193928449	5.684704576	0.149525453	0.669032282
Fsd2	0.28714072	2.226864351	0.14952678	0.669032282
Capza2	-0.211236372	8.313509918	0.149944183	0.66966897
Asns	0.517244288	0.628027772	0.14997282	0.66966897
Smarcad1	-0.184813663	5.392069588	0.150072773	0.66966897
Lenep	0.260034177	1.884761396	0.150106709	0.66966897
Igf2r	-0.173749281	7.656759862	0.150130006	0.66966897
Uprt	-0.236886432	2.806607994	0.150130035	0.66966897
Zfp865	0.235597443	5.418432136	0.150137911	0.66966897
Rfx7	-0.145823575	7.120615037	0.150194463	0.66966897
3110002H16Rik	0.160339459	5.870685367	0.15033239	0.669980041
Lin54	-0.223552502	4.736101149	0.150395637	0.669980041
Tcf4	-0.270633983	2.522692239	0.150626781	0.670616225
Atf6b	0.155973343	6.342030462	0.150723142	0.670616225
Tnrc6a	-0.155697808	7.84906648	0.150767657	0.670616225
Unc93b1	0.21931803	3.939669022	0.150830091	0.670616225
Trim6	-0.365032678	0.855076598	0.150884319	0.670616225
Stag1	-0.230708989	6.518929675	0.151139687	0.670616225
Ptbp2	-0.238704373	4.123445958	0.151231795	0.670616225
Tlcd1	0.408478423	0.650704112	0.15126458	0.670616225
Soat1	-0.153352017	5.76123906	0.151275081	0.670616225
Mir6516	-0.388976919	0.246632853	0.151279213	0.670616225
Rnf135	0.232789927	2.861853603	0.151281789	0.670616225
Ncaph	-0.229100241	5.882842438	0.151389457	0.670616225
Secisbp2l	-0.160247885	6.766967163	0.151393405	0.670616225
Tmem263	-0.220552122	5.31907372	0.151523426	0.670669208
Eya2	0.33010256	1.715920849	0.151536908	0.670669208
Slc35c2	0.196673942	5.229379586	0.151680781	0.670731352
Saysd1	0.287313558	3.182713435	0.151784483	0.670731352
Gipc1	0.21354906	4.774949781	0.151908184	0.670731352
Psenen	0.165386489	6.278194075	0.151959168	0.670731352
Dhcr7	0.164344391	5.737637681	0.151964422	0.670731352
Ppcdc	0.177978195	5.247665992	0.152064072	0.670731352
Iqcc	-0.254607989	4.494312676	0.152164472	0.670731352
Skiv2l2	-0.175579176	6.43439772	0.15225346	0.670731352
Trim33	-0.172250343	6.516836487	0.152254166	0.670731352
Tysnd1	0.212577613	4.673081402	0.152283068	0.670731352
Wdfy1	-0.151264736	6.600924281	0.152337755	0.670731352
Zer1	0.200717835	6.057382801	0.152340278	0.670731352
Rin3	0.17159897	7.03720609	0.152675902	0.670963186
Klhl11	-0.197924958	3.870470565	0.15271641	0.670963186
Snx13	-0.191459626	4.978963854	0.152720811	0.670963186
Lat	0.166634689	9.055667662	0.1527827	0.670963186
Tnfrsf21	0.353679317	1.101861604	0.152884094	0.670963186
Eif2b2	0.163608999	6.125149621	0.152917627	0.670963186
Dcdc2c	-0.32288048	1.169423037	0.152933099	0.670963186
Arhgap1	0.16235559	7.60989271	0.153017495	0.670963186
Zufsp	-0.196183657	5.565105165	0.153074895	0.670963186
Ppp1r18	0.164487773	8.441413759	0.15310509	0.670963186
Wwp1	-0.215147921	4.440045479	0.153187245	0.670963186
2310035C23Rik	-0.205940884	5.806500559	0.153226128	0.670963186
Anapc1	-0.146194166	7.587866132	0.153268372	0.670963186
Mrps2	0.174569264	4.747400748	0.153329099	0.670963186
Mettl13	0.212434693	3.243813475	0.153469999	0.670963186
Llgl2	0.23250079	4.6779108	0.153519512	0.670963186
Pcyt2	0.206912781	5.59874569	0.153725932	0.670963186
Klhl28	-0.226869053	4.620083761	0.153772836	0.670963186
4932438A13Rik	-0.183126046	8.482608333	0.153864924	0.670963186
Cad	-0.156412989	5.989072481	0.153868475	0.670963186
Mrpl55	0.189039859	3.752139677	0.154067687	0.670963186
Usp45	-0.212668466	6.011429334	0.154200057	0.670963186
Zfp644	-0.181930891	5.070094641	0.154280439	0.670963186
